iter	Accuracy	Logloss
792	0.9634755538	0.08653646978
793	0.9635117525	0.08651093142
794	0.9635358849	0.08650292446
795	0.9635358849	0.08647574698
796	0.9635358849	0.08647572683
797	0.9635600174	0.08647182295
798	0.9635841498	0.08645288021
799	0.9635841498	0.08644547439
800	0.9636082823	0.08642479171
801	0.9636082823	0.0864181755
802	0.9636082823	0.08641350925
803	0.9636082823	0.0864135036
804	0.9636324147	0.0864117681
805	0.9636082823	0.086404135
806	0.9636203485	0.0863901942
807	0.9635720836	0.08637890414
808	0.9636324147	0.08635991777
809	0.9636444809	0.0863396715
810	0.9636565471	0.08632872058
811	0.9636927458	0.08631563033
812	0.9636927458	0.0863043763
813	0.9636444809	0.08628908996
814	0.9636686134	0.08628218687
815	0.9637530769	0.08624476581
816	0.9637772093	0.0862332735
817	0.9637168782	0.086215739
818	0.9637289444	0.08620569797
819	0.9637289444	0.08617247596
820	0.9637410107	0.08616064833
821	0.9637410107	0.08615449129
822	0.9636686134	0.08613176295
823	0.9636927458	0.08612329186
824	0.9637289444	0.08610773545
825	0.9637289444	0.08608704665
826	0.9638013418	0.08605415565
827	0.9638013418	0.08605297382
828	0.9638013418	0.08603932817
829	0.963813408	0.08601430143
830	0.9638375404	0.08600109385
831	0.9638375404	0.08599113364
832	0.9638616729	0.08598083251
833	0.9638616729	0.0859636754
834	0.9638858053	0.08595124547
835	0.9638616729	0.08594637498
836	0.963922004	0.08593480681
837	0.9638858053	0.08592548226
838	0.9639582026	0.08590792249
839	0.9639461364	0.08589557991
840	0.9639099377	0.08588131091
841	0.9638858053	0.08585966471
842	0.9638858053	0.08585506745
843	0.9638737391	0.08584906346
844	0.9638858053	0.08584167057
845	0.9638978715	0.08583872519
846	0.9638737391	0.08581268679
847	0.9638616729	0.08579586396
848	0.9638616729	0.08578037297
849	0.9638858053	0.08575360282
850	0.963922004	0.08573677778
851	0.9639823351	0.08571385912
852	0.9639944013	0.08570270641
853	0.9639944013	0.08569180105
854	0.9639944013	0.08566507584
855	0.9640064675	0.08564797556
856	0.9640064675	0.08564777237
857	0.9640185337	0.08564021703
858	0.9640305999	0.08562464952
859	0.9640305999	0.08561273208
860	0.9640667986	0.08560732153
861	0.9640667986	0.08560727078
862	0.9640667986	0.08560124576
863	0.9640667986	0.08560123922
864	0.9640667986	0.085600837
865	0.9640667986	0.08560082443
866	0.9641029972	0.08559487773
867	0.964090931	0.08558192929
868	0.9640426662	0.08556308345
869	0.9640667986	0.08554742613
870	0.9640426662	0.08554191054
871	0.9640426662	0.08554151856
872	0.964090931	0.08552975384
873	0.9641029972	0.08551140061
874	0.9640788648	0.08549220421
875	0.9640667986	0.0854709717
876	0.9640667986	0.08547094011
